order_id,local_time,country_code,store_address,payment_status,n_of_products,products_total,final_status
33391431,11:03:03,FR,917,PAID,2,14.7,DeliveredStatus
32079853,13:38:33,PA,65895,PAID,1,0.99,DeliveredStatus
33293014,21:00:53,UA,64797,PAID,1,2.33,CanceledStatus
32886292,19:46:40,PR,66767,PAID,2,17.54,DeliveredStatus
32763128,21:38:23,AR,63017,PAID,4,3.28,DeliveredStatus
33352980,20:35:49,AR,27748,PAID,1,4.54,DeliveredStatus
32707709,19:40:52,MA,70784,PAID,1,2.76,DeliveredStatus
33011175,22:01:20,ES,28671,PAID,2,4.4,DeliveredStatus
32019596,13:54:17,RO,72985,PAID,7,8.85,DeliveredStatus
32937094,11:47:13,AR,46906,PAID,2,3.65,DeliveredStatus
33082742,12:08:15,AR,63042,PAID,1,1.38,DeliveredStatus
32893945,20:00:39,PE,15937,PAID,4,10.69,DeliveredStatus
32832215,21:03:01,TR,67724,PAID,1,1.31,DeliveredStatus
33217959,08:03:03,IT,4390,PAID,4,6.5,DeliveredStatus
32079079,19:35:13,FR,1213,PAID,2,13.2,DeliveredStatus
32931416,10:53:20,CL,10358,PAID,1,0.41,DeliveredStatus
33511530,15:54:35,EC,41406,PAID,1,21.35,DeliveredStatus
32719200,20:35:56,MA,72862,PAID,4,29.94,CanceledStatus
33290170,19:49:10,ES,5901,PAID,11,19.61,DeliveredStatus
32796628,14:06:42,ES,16245,PAID,21,33.33,CanceledStatus
32595315,22:43:17,TR,72234,PAID,2,4.84,DeliveredStatus
32563761,17:26:25,ES,9451,PAID,9,23.4,DeliveredStatus
32680367,12:14:43,AR,53058,PAID,2,7.99,DeliveredStatus
33387294,10:26:22,TR,65753,PAID,2,3.39,CanceledStatus
32572471,18:34:40,FR,1718,PAID,5,23.6,DeliveredStatus
32916482,12:33:42,FR,46940,PAID,3,8.8,DeliveredStatus
32160713,21:51:45,AR,21110,PAID,1,3.35,DeliveredStatus
33220896,11:12:25,KE,66621,PAID,5,25.24,DeliveredStatus
32761656,19:25:57,PE,51856,PAID,1,13.35,DeliveredStatus
32834462,19:16:29,ES,2266,PAID,1,14.5,DeliveredStatus
33046421,11:16:36,UA,48498,PAID,2,3.5,DeliveredStatus
32870892,21:14:09,PT,72519,PAID,3,3.56,DeliveredStatus
32609958,20:54:22,ES,30118,PAID,4,5.6,CanceledStatus
33193699,21:29:54,AR,63017,PAID,6,4.71,DeliveredStatus
32706404,20:33:25,EG,44003,PAID,4,8.92,CanceledStatus
33492112,16:55:42,AR,12787,PAID,6,5.08,DeliveredStatus
33543629,21:32:51,AR,53926,PAID,2,5.94,DeliveredStatus
32762201,21:30:17,AR,62504,PAID,1,1.55,DeliveredStatus
33068237,13:27:31,ES,29451,PAID,3,21.4,DeliveredStatus
33257434,16:16:47,IT,12513,PAID,4,29,DeliveredStatus
32422639,21:15:01,KE,58044,PAID,2,11.41,DeliveredStatus
32397879,16:39:25,ES,69025,PAID,1,9.95,DeliveredStatus
33025304,21:16:43,UY,46606,PAID,3,18.06,CanceledStatus
33255044,15:56:33,FR,3166,PAID,3,10.2,DeliveredStatus
33449960,18:32:05,MA,55899,PAID,1,3.88,DeliveredStatus
33188537,20:53:35,AR,13370,PAID,1,8.38,DeliveredStatus
32780882,10:28:16,IT,10695,PAID,4,10.28,DeliveredStatus
32215649,15:24:54,ES,22008,PAID,6,36.46,DeliveredStatus
32755089,20:23:41,AR,63150,PAID,1,1.22,DeliveredStatus
33271675,20:10:10,TR,33959,PAID,1,9.32,DeliveredStatus
32854442,20:54:39,ES,15659,PAID,3,13.1,DeliveredStatus
32673430,15:03:54,FR,46940,PAID,4,11.5,DeliveredStatus
33367179,22:12:57,AR,63827,PAID,5,3.24,DeliveredStatus
33018246,20:09:09,AR,17199,PAID,2,10.53,DeliveredStatus
33523332,16:52:25,PE,43577,PAID,1,6.16,DeliveredStatus
33207167,21:02:39,EC,41406,PAID,1,12.92,DeliveredStatus
33429854,10:12:24,PE,48322,PAID,2,10.75,DeliveredStatus
33439292,13:22:45,AR,16169,PAID,2,7.35,DeliveredStatus
32737661,21:58:15,ES,39022,PAID,5,39.13,DeliveredStatus
33071538,14:49:55,ES,20111,PAID,5,7.85,DeliveredStatus
33219925,10:17:13,TR,72416,PAID,1,0.98,DeliveredStatus
32410969,12:14:26,PE,29360,PAID,1,9.84,DeliveredStatus
32460180,23:09:07,TR,63861,PAID,1,1.64,DeliveredStatus
33080337,15:51:49,IT,2518,PAID,2,19.04,DeliveredStatus
33538207,18:54:52,PA,65899,PAID,1,0.58,CanceledStatus
32241194,18:41:12,ES,21467,PAID,3,2.76,DeliveredStatus
33005480,22:22:01,MA,33034,PAID,4,13.85,DeliveredStatus
32223000,20:28:19,ES,19842,PAID,1,11,DeliveredStatus
33483675,20:33:45,IT,9453,PAID,5,15,DeliveredStatus
33550141,20:23:04,PA,65899,PAID,7,9.62,DeliveredStatus
32434326,20:00:30,ES,5808,PAID,11,27.61,DeliveredStatus
33359589,21:22:24,AR,66075,PAID,2,10.59,DeliveredStatus
33017504,20:02:08,AR,20804,PAID,4,32.18,DeliveredStatus
32572283,18:33:16,ES,2266,PAID,5,8.33,DeliveredStatus
33354460,20:47:26,AR,35431,PAID,1,6.59,DeliveredStatus
33487149,20:42:51,ES,13657,PAID,2,14.2,DeliveredStatus
32334538,22:32:26,CL,30327,PAID,1,0.09,CanceledStatus
32028851,15:10:03,UA,45802,PAID,3,10.16,DeliveredStatus
32715869,20:21:04,ES,50292,PAID,6,6.72,DeliveredStatus
33377102,22:34:10,DO,32999,PAID,3,35.27,CanceledStatus
33185941,20:33:30,AR,56332,PAID,1,0.74,DeliveredStatus
32169455,22:52:10,AR,71381,PAID,2,6.92,DeliveredStatus
32911455,12:16:27,EG,48518,PAID,3,3.95,DeliveredStatus
32553938,16:52:18,UA,66718,PAID,1,2.03,DeliveredStatus
32262327,22:15:40,TR,29117,PAID,2,3.93,DeliveredStatus
32946595,18:10:08,RO,39334,PAID,1,37.95,DeliveredStatus
33307142,20:49:17,ES,27639,PAID,5,20.7,DeliveredStatus
33394165,13:55:50,TR,45699,PAID,1,3.75,DeliveredStatus
33206953,21:01:00,PE,51289,PAID,1,6.73,DeliveredStatus
33539326,21:02:38,AR,57878,PAID,5,41.78,DeliveredStatus
32329054,21:49:04,AR,38439,PAID,1,5.83,DeliveredStatus
32082030,19:47:26,IT,11177,PAID,1,6.29,DeliveredStatus
33114586,21:23:00,TR,47624,PAID,4,9.47,DeliveredStatus
32235189,13:58:45,AR,60548,PAID,4,4.35,CanceledStatus
33546026,21:50:24,AR,57713,PAID,2,12.77,DeliveredStatus
32433726,15:55:49,AR,32214,PAID,6,1.83,DeliveredStatus
32162680,20:04:12,EC,31866,PAID,1,3.96,DeliveredStatus
32539834,13:32:44,ES,16224,PAID,4,10.99,DeliveredStatus
33544907,21:42:30,AR,55118,PAID,1,4.32,CanceledStatus
32314804,19:57:15,AR,64637,PAID,2,7.18,DeliveredStatus
33072049,13:53:23,PT,18370,PAID,1,35,DeliveredStatus
33393535,12:43:41,UA,69188,PAID,2,8.71,DeliveredStatus
32608215,17:45:00,AR,63134,PAID,2,3.65,CanceledStatus
32574163,20:46:10,TR,67726,PAID,1,1.15,DeliveredStatus
33429226,10:07:33,EC,41127,PAID,3,3.6,DeliveredStatus
33230013,12:46:22,ES,16231,PAID,3,4.95,DeliveredStatus
32823743,19:05:38,EG,60475,PAID,1,8.1,DeliveredStatus
32396529,12:28:57,AR,34119,PAID,1,5.3,DeliveredStatus
32479031,18:11:22,CL,17327,PAID,1,0.09,DeliveredStatus
33123892,20:02:20,IT,21071,PAID,2,11.5,DeliveredStatus
32456101,21:03:01,ES,54552,PAID,1,23,DeliveredStatus
32941624,17:27:56,RO,72551,PAID,2,7.17,DeliveredStatus
33329559,21:03:03,ES,28669,PAID,3,19.2,DeliveredStatus
33033905,20:43:55,EC,54771,PAID,8,33.09,DeliveredStatus
33501741,21:22:07,ES,5566,PAID,3,22,DeliveredStatus
33523400,22:53:02,ES,16348,PAID,2,2.7,DeliveredStatus
32475522,20:56:36,ES,28712,PAID,2,18.8,DeliveredStatus
32785759,14:05:56,TR,68331,PAID,1,2.6,DeliveredStatus
32798739,14:23:26,ES,226,NOT_PAID,2,6.9,DeliveredStatus
32088213,14:10:32,PA,67898,PAID,1,6.38,DeliveredStatus
33098797,18:58:29,UA,67086,PAID,2,4.52,DeliveredStatus
32692116,13:58:15,AR,54452,PAID,1,5.32,DeliveredStatus
33151343,21:29:41,ES,16351,PAID,2,3.2,DeliveredStatus
32260249,20:08:25,FR,4137,PAID,3,24.5,DeliveredStatus
32690807,13:47:49,AR,59450,PAID,2,2.13,DeliveredStatus
33067247,14:43:08,ES,19856,PAID,1,6.5,DeliveredStatus
33053541,08:24:20,AR,17456,PAID,1,3.6,DeliveredStatus
32152504,20:58:23,AR,61656,PAID,1,5.58,CanceledStatus
32182717,09:05:23,TR,62041,PAID,6,7.61,DeliveredStatus
32242795,17:49:55,PT,41304,PAID,13,22.05,DeliveredStatus
32245202,15:03:22,AR,61408,PAID,4,1.24,DeliveredStatus
33072455,14:55:58,MA,32551,PAID,2,2.77,DeliveredStatus
33559739,23:02:03,PE,11694,PAID,2,6.32,DeliveredStatus
33202014,22:24:11,UY,26532,PAID,2,14.7,DeliveredStatus
32557842,17:31:32,EG,44467,PAID,4,5.18,DeliveredStatus
32237207,18:13:14,ES,47273,PAID,2,2.68,CanceledStatus
32079371,19:36:27,IT,12513,PAID,1,15,DeliveredStatus
32700855,20:00:43,UA,67014,PAID,1,6.12,CanceledStatus
32015973,12:13:47,IT,25709,PAID,6,20.36,DeliveredStatus
32228162,13:05:31,AR,66068,PAID,1,5.72,DeliveredStatus
32229051,18:13:32,RO,72558,NOT_PAID,3,7.16,DeliveredStatus
32527554,11:03:23,UA,58035,PAID,6,16.31,DeliveredStatus
33437653,13:10:35,AR,57659,PAID,4,4.32,DeliveredStatus
32891053,19:33:00,PE,44509,PAID,1,2.54,DeliveredStatus
33200386,22:13:00,AR,68271,PAID,1,5.73,DeliveredStatus
33208573,23:15:27,AR,71283,PAID,1,2.93,CanceledStatus
33505496,20:34:09,ES,28712,PAID,4,20.25,DeliveredStatus
32245482,19:04:43,IT,13825,PAID,3,23,DeliveredStatus
32884690,18:29:33,PA,62221,PAID,2,19.37,DeliveredStatus
32272038,21:47:09,UA,66024,PAID,2,14.98,DeliveredStatus
32346429,22:26:33,EC,55533,PAID,1,2.81,DeliveredStatus
33247520,15:58:10,UA,67084,PAID,4,9.58,DeliveredStatus
32497010,20:22:16,AR,13917,PAID,1,3.86,DeliveredStatus
33093208,11:21:54,PE,46853,PAID,1,6.73,CanceledStatus
32344364,21:57:21,PE,69621,PAID,1,9.05,DeliveredStatus
33428339,16:00:32,FR,3082,PAID,1,10.9,DeliveredStatus
32387882,15:25:02,FR,3303,PAID,2,29.99,CanceledStatus
33215497,21:45:26,CR,36594,PAID,1,7.23,CanceledStatus
33038300,23:44:38,AR,63432,PAID,1,2.9,DeliveredStatus
33229798,11:43:50,ES,30120,PAID,2,4.64,DeliveredStatus
32568132,19:02:13,RO,72545,PAID,4,6.78,DeliveredStatus
32197470,09:18:13,AR,17190,PAID,1,2.98,CanceledStatus
32508868,19:53:56,PE,11361,PAID,2,14.15,DeliveredStatus
32662418,13:17:05,ES,5901,PAID,9,34.81,DeliveredStatus
33269095,11:50:49,EC,41299,PAID,4,24.67,DeliveredStatus
32587895,20:08:17,IT,528,PAID,2,10.55,DeliveredStatus
32762818,21:35:26,AR,72786,PAID,3,6.43,DeliveredStatus
33358728,19:16:43,EC,41215,PAID,2,4.45,DeliveredStatus
32577866,21:11:14,TR,47493,PAID,2,1.39,DeliveredStatus
33257827,18:20:13,TR,46490,PAID,5,19.58,DeliveredStatus
33280080,20:03:11,UA,50832,PAID,4,15.08,DeliveredStatus
32921199,14:22:48,UA,54534,PAID,2,5.51,DeliveredStatus
33026067,21:23:44,AR,55206,PAID,3,19.33,DeliveredStatus
33536939,18:44:39,PE,59009,PAID,3,5.91,DeliveredStatus
32911733,14:21:58,GE,67114,PAID,3,10.76,CanceledStatus
32568807,19:07:03,UA,50832,PAID,4,7.38,DeliveredStatus
33085651,18:28:19,TR,72806,PAID,1,0.98,DeliveredStatus
33518157,22:22:42,IT,17596,PAID,3,18,DeliveredStatus
33390261,12:27:45,TR,72810,PAID,3,4.17,DeliveredStatus
33225785,12:36:17,EG,30577,PAID,5,5.21,DeliveredStatus
32154745,19:12:54,EC,41294,PAID,2,7.65,DeliveredStatus
32782527,14:06:16,GE,46083,PAID,4,4.89,DeliveredStatus
32785837,12:06:48,ES,51135,PAID,2,3.09,DeliveredStatus
33416655,16:44:01,TR,66297,PAID,2,4.38,DeliveredStatus
32680293,12:14:04,AR,62935,PAID,2,7.1,DeliveredStatus
33435423,12:54:07,AR,16553,PAID,3,8.1,CanceledStatus
32071215,20:59:56,TR,34210,PAID,8,14.74,CanceledStatus
32564548,13:32:57,AR,35519,PAID,1,4.87,DeliveredStatus
32089938,20:16:30,ES,54552,PAID,2,15.6,DeliveredStatus
33549280,20:15:56,PE,71671,PAID,2,4.41,DeliveredStatus
32753546,20:09:46,AR,42871,PAID,1,11.76,CanceledStatus
33227004,13:01:43,UA,66050,PAID,3,7.73,DeliveredStatus
32353923,10:48:11,UA,69693,PAID,2,4.91,CanceledStatus
32605484,21:30:41,ES,18781,PAID,10,23.41,CanceledStatus
33535565,20:34:32,AR,58930,PAID,1,3.02,DeliveredStatus
32656954,12:06:05,ES,29447,PAID,5,7.4,DeliveredStatus
32970900,13:49:44,PA,17782,PAID,1,6.97,DeliveredStatus
33291802,19:55:51,IT,10692,PAID,5,16.42,DeliveredStatus
32265595,16:27:30,AR,32293,PAID,5,1.46,DeliveredStatus
33458557,13:13:51,PE,11361,PAID,3,19.3,DeliveredStatus
32527401,11:57:37,TR,37482,PAID,4,11.47,DeliveredStatus
33232113,14:08:44,UA,59363,PAID,3,23.45,DeliveredStatus
33074447,16:09:44,UA,50834,PAID,2,7.85,DeliveredStatus
33183348,18:13:11,EC,41224,PAID,3,8.92,DeliveredStatus
33046439,12:16:57,TR,72875,PAID,1,1.51,DeliveredStatus
32191648,12:12:18,MA,33538,PAID,6,37.35,DeliveredStatus
32643328,08:28:02,PE,46853,PAID,1,6.27,DeliveredStatus
32674716,11:16:40,AR,28285,PAID,3,12.58,DeliveredStatus
32708503,15:45:10,AR,61625,PAID,1,6.21,DeliveredStatus
32920972,14:20:45,RO,71243,PAID,1,30.36,DeliveredStatus
33271409,18:09:02,FR,3297,PAID,2,44.98,DeliveredStatus
32196313,13:07:49,IT,9673,PAID,4,11.54,DeliveredStatus
32227770,16:02:27,ES,30120,PAID,6,13.67,DeliveredStatus
33107499,19:48:33,UA,59535,PAID,3,12.06,DeliveredStatus
32527676,11:06:58,RO,59048,PAID,1,3.59,DeliveredStatus
33359088,21:19:01,AR,62323,PAID,3,11.67,DeliveredStatus
32546702,13:38:33,ES,30121,PAID,2,4.08,DeliveredStatus
32212016,13:59:05,ES,28669,PAID,6,40.95,DeliveredStatus
32413125,19:27:12,RO,33378,PAID,3,3.5,CanceledStatus
32934498,09:22:41,EC,51374,PAID,1,5.29,DeliveredStatus
32037891,16:14:53,EG,44032,PAID,1,4.58,DeliveredStatus
32321781,18:56:47,PA,71160,PAID,1,7.26,DeliveredStatus
33190655,21:09:08,AR,62826,PAID,1,7.21,DeliveredStatus
32230911,16:26:34,PT,71798,PAID,2,5.87,DeliveredStatus
32977132,21:18:57,RO,72551,PAID,4,4.85,DeliveredStatus
32141104,23:29:34,FR,2964,PAID,4,19.7,DeliveredStatus
32239050,19:25:46,EG,28059,PAID,4,2.92,DeliveredStatus
33102842,20:22:55,TR,66573,PAID,3,5.88,DeliveredStatus
32489740,17:12:37,PE,51853,PAID,2,7.45,DeliveredStatus
32344292,23:56:24,AR,55118,PAID,2,5.3,DeliveredStatus
33305845,14:45:03,PE,15938,PAID,1,10.75,DeliveredStatus
32551850,15:30:33,IT,10822,PAID,2,4.04,DeliveredStatus
32919509,13:06:53,FR,4449,PAID,6,34.1,CanceledStatus
33263961,13:10:25,AR,34059,PAID,2,9.4,CanceledStatus
33397311,12:40:36,ES,69014,PAID,2,11.1,DeliveredStatus
33095904,17:39:36,ES,50287,PAID,10,19.05,DeliveredStatus
33314718,21:13:32,ES,13669,PAID,4,26.5,DeliveredStatus
33429475,17:09:33,UA,54218,PAID,1,1.18,DeliveredStatus
33456682,19:05:49,IT,15222,PAID,4,24.9,DeliveredStatus
32435971,22:03:16,TR,61684,PAID,2,3.11,DeliveredStatus
32057649,13:37:57,AR,28286,PAID,2,3.8,DeliveredStatus
32629548,20:48:55,AR,57889,PAID,1,13.27,CanceledStatus
33404286,13:35:44,ES,22860,PAID,3,6.8,DeliveredStatus
32698892,12:47:14,PE,15938,PAID,4,36.83,DeliveredStatus
33453586,19:52:20,RO,72971,PAID,7,14.23,DeliveredStatus
33272389,20:14:40,TR,47257,PAID,1,1.15,DeliveredStatus
33357464,21:08:27,AR,20804,PAID,1,8.86,DeliveredStatus
33066072,14:12:21,ES,5257,PAID,4,15.75,DeliveredStatus
32532679,12:04:28,MA,34507,PAID,7,21.96,DeliveredStatus
32785799,14:06:25,TR,47538,PAID,3,3.96,DeliveredStatus
32538169,13:16:07,ES,9276,PAID,1,23.5,DeliveredStatus
33199916,22:09:55,AR,61663,PAID,2,17.11,DeliveredStatus
32905798,09:46:37,TR,62003,PAID,2,3.18,DeliveredStatus
32601944,21:14:12,ES,5273,PAID,7,14.53,DeliveredStatus
32842045,19:58:12,FR,2965,PAID,4,22.8,DeliveredStatus
33528813,22:37:23,PT,18073,PAID,1,4.19,CanceledStatus
33389209,09:53:55,IT,10695,PAID,13,39.1,DeliveredStatus
33050174,12:34:51,EG,46549,PAID,2,2.15,DeliveredStatus
33095465,19:36:45,TR,31446,PAID,2,1.88,DeliveredStatus
32398405,15:43:42,PT,71797,PAID,2,1.38,DeliveredStatus
32484003,18:35:10,AR,55206,PAID,1,6.12,DeliveredStatus
32076342,20:24:05,UA,67628,PAID,4,27.44,DeliveredStatus
32553467,11:47:06,AR,20886,PAID,1,1.44,CanceledStatus
32547919,10:49:55,AR,62801,PAID,5,1.42,DeliveredStatus
32901550,20:36:22,CR,72064,PAID,1,7.22,DeliveredStatus
32915264,12:19:24,FR,3082,PAID,2,16.2,CanceledStatus
32072698,20:07:22,UA,45789,PAID,1,3.76,DeliveredStatus
32564826,13:35:14,AR,14114,PAID,1,5.95,DeliveredStatus
32580082,21:03:01,ES,45099,PAID,2,19.5,DeliveredStatus
32192216,13:21:00,RO,30062,PAID,2,14.74,CanceledStatus
32579975,19:23:53,ES,9004,PAID,7,12.21,DeliveredStatus
32911509,12:17:41,UA,66532,PAID,1,5.21,DeliveredStatus
32412875,18:25:49,IT,14680,PAID,2,9,DeliveredStatus
32230550,12:03:02,EC,41162,PAID,1,11,DeliveredStatus
32708762,15:46:27,AR,50175,PAID,1,4.88,DeliveredStatus
31977510,13:43:13,ES,18682,PAID,10,19.66,DeliveredStatus
32740671,22:14:46,ES,19842,PAID,2,14,DeliveredStatus
33249594,14:13:35,ES,30118,PAID,7,14.7,DeliveredStatus
32410032,14:08:27,AR,63908,PAID,2,14.79,DeliveredStatus
33226531,13:52:18,TR,69980,PAID,1,1.55,DeliveredStatus
32557714,12:30:21,AR,48152,PAID,1,3.54,DeliveredStatus
32777673,09:21:30,TR,62023,PAID,1,1.92,DeliveredStatus
33418649,14:55:25,ES,8466,PAID,1,7.7,DeliveredStatus
32903112,00:12:54,AR,62620,PAID,4,3.43,DeliveredStatus
33308056,20:52:27,ES,5256,PAID,5,29.8,CanceledStatus
33553888,22:58:47,AR,20951,PAID,3,1.1,DeliveredStatus
32591760,16:26:48,AR,59953,PAID,2,6.64,DeliveredStatus
33524474,23:00:40,FR,4137,PAID,1,8.5,DeliveredStatus
32324005,19:13:08,PE,36504,PAID,1,15.41,DeliveredStatus
32742490,18:26:40,AR,62851,PAID,2,9.7,DeliveredStatus
32638125,22:12:44,AR,57138,PAID,5,4.78,DeliveredStatus
32229893,13:18:33,AR,29774,PAID,1,2.65,DeliveredStatus
32235641,18:02:31,ES,28591,PAID,2,6.75,CanceledStatus
32875745,18:49:04,AR,14114,PAID,1,3.69,DeliveredStatus
32410614,19:12:25,UA,49696,PAID,4,22.46,DeliveredStatus
32135691,22:54:01,IT,8869,PAID,1,12,DeliveredStatus
33212491,21:57:18,EC,67169,PAID,4,21.25,DeliveredStatus
33188865,21:28:01,AR,12787,PAID,1,4.88,DeliveredStatus
32886245,18:46:10,PE,13188,PAID,4,55.57,CanceledStatus
32153981,21:07:55,AR,63042,PAID,1,1.68,DeliveredStatus
33436615,13:03:27,AR,56010,PAID,5,3.56,DeliveredStatus
32506070,21:32:59,AR,15144,PAID,3,14.84,CanceledStatus
32197296,15:17:01,TR,62063,PAID,6,4.87,DeliveredStatus
32640273,20:38:27,PE,51251,PAID,3,9.06,DeliveredStatus
32690045,19:44:28,KE,66621,PAID,1,0.85,DeliveredStatus
32649329,09:14:27,TR,62041,PAID,1,1.44,DeliveredStatus
32222863,10:22:21,PA,65898,PAID,1,23.76,DeliveredStatus
32580356,19:26:00,FR,1218,PAID,3,20.4,DeliveredStatus
33266228,11:28:08,EC,61328,PAID,1,2.58,DeliveredStatus
33155093,17:41:19,AR,65733,PAID,3,3.82,DeliveredStatus
32109570,21:16:36,ES,27585,PAID,1,8.6,DeliveredStatus
32623183,16:46:59,GT,29225,PAID,1,18.4,CanceledStatus
32727093,20:09:05,PT,71798,PAID,5,19.82,DeliveredStatus
32539771,13:32:12,ES,45101,PAID,2,8.8,DeliveredStatus
33426871,17:49:52,TR,43805,PAID,2,19.87,DeliveredStatus
32668687,14:18:01,FR,3705,PAID,2,8.5,DeliveredStatus
33534711,18:28:04,PE,11107,PAID,3,16.94,DeliveredStatus
